symbol,sector,history_years,median_turnover_inr,missing_frac,last_price
SBICARD.NS,Financial Services,5.796,843561087.4256897,0.0,856.4993896484375
SBILIFE.NS,Financial Services,8.246,1580277688.78125,0.0,2037.5675048828125
SBIN.NS,Financial Services,11.001,7675796976.552185,0.0,967.3140869140625
SHREECEM.NS,Construction Materials,11.001,790721812.5,0.0,26765.427734375
SHRIRAMFIN.NS,Financial Services,11.001,3583634641.1658325,0.0,1013.96435546875
SIEMENS.NS,Capital Goods,11.001,1480466258.734253,0.0,3076.18359375
SOLARINDS.NS,Chemicals,11.001,1305168474.0,0.0,12158.81640625
SONACOMS.NS,Automobile and Auto Components,4.523,904179137.276001,0.0,471.3938293457031
SRF.NS,Chemicals,11.001,1335584324.1176758,0.0,3045.879638671875
SUNPHARMA.NS,Healthcare,11.001,3446724378.8652344,0.0,1705.5223388671875
SUPREMEIND.NS,Capital Goods,11.001,726231335.8560791,0.0,3459.93359375
SUZLON.NS,Capital Goods,11.001,3096323041.9018784,0.0,52.470001220703125
TATACONSUM.NS,Fast Moving Consumer Goods,11.001,1224386442.9613647,0.0,1167.0250244140625
TATAELXSI.NS,Information Technology,11.001,846424943.1606445,0.0,5119.68798828125
TATAPOWER.NS,Power,11.001,2022309427.743576,0.0,379.4984130859375
TATASTEEL.NS,Metals & Mining,11.001,3662512839.1816025,0.0,178.21470642089844
TCS.NS,Information Technology,11.001,8229302614.514893,0.0,3110.31884765625
TECHM.NS,Information Technology,11.001,2496966649.01947,0.0,1566.9786376953125
TIINDIA.NS,Automobile and Auto Components,8.164,738127074.4544678,0.0,2619.252685546875
TITAN.NS,Consumer Durables,11.001,2542286999.2144775,0.0,4036.056640625
TMPV.NS,Automobile and Auto Components,11.001,7018098522.922485,0.0,364.526123046875
TORNTPHARM.NS,Healthcare,11.001,838592466.4772949,0.0,3814.611328125
TRENT.NS,Consumer Services,11.001,4791148950.272949,0.0,2860.7060546875
TVSMOTOR.NS,Automobile and Auto Components,11.001,1888451728.809082,0.0,3781.18359375
ULTRACEMCO.NS,Construction Materials,11.001,2736442594.5844727,0.0,11662.9404296875
UNIONBANK.NS,Financial Services,11.001,1358372567.4304695,0.0,149.17564392089844
UNITDSPR.NS,Fast Moving Consumer Goods,11.001,1104061256.2225952,0.0,1387.19677734375
UNOMINDA.NS,Automobile and Auto Components,11.001,693077040.6189575,0.0,1283.76953125
UPL.NS,Chemicals,11.001,1279895102.8670044,0.0,797.6290893554688
VBL.NS,Fast Moving Consumer Goods,9.147,2838350446.562683,0.0,490.12359619140625
VEDL.NS,Metals & Mining,11.001,3655142256.7895203,0.0,592.7506103515625
VOLTAS.NS,Consumer Durables,11.001,1529795484.696167,0.0,1379.9649658203125
WIPRO.NS,Information Technology,11.001,2319209185.9039917,0.0,257.67852783203125
YESBANK.NS,Financial Services,11.001,1630027069.912548,0.0,21.489999771118164
ZYDUSLIFE.NS,Healthcare,11.001,809901063.4526978,0.0,914.2284545898438
